dateState,date,state,cases,deaths,pop,cases.perCap,deaths.perCap,cases.new,deaths.new,cases.new.perCap,deaths.new.perCap,cases.new.perM,deaths.new.perM,cases.new.7dsma,deaths.new.7dsma,cases.new.perCap.7dsma,deaths.new.perCap.7dsma,cases.new.perM.7dsma,deaths.new.perM.7dsma,cases.active,cases.active.perCap,cases.active.perM
"2020-01-21, Washington",2020-01-21,Washington,1,0,822083,1.2164221860809676e-6,0,1,0,1.2164221860809676e-6,0,1.2164221860809676,0,0,0,0,0,0,0,0,0,0
"2020-01-22, Washington",2020-01-22,Washington,1,0,822083,1.2164221860809676e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-23, Washington",2020-01-23,Washington,1,0,822083,1.2164221860809676e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-24, Illinois",2020-01-24,Illinois,1,0,5150233,1.941659726851193e-7,0,1,0,1.941659726851193e-7,0,0.1941659726851193,0,0,0,0,0,0,0,0,0,0
"2020-01-24, Washington",2020-01-24,Washington,1,0,822083,1.2164221860809676e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-25, California",2020-01-25,California,1,0,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2020-01-25, Illinois",2020-01-25,Illinois,1,0,5150233,1.941659726851193e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-25, Washington",2020-01-25,Washington,1,0,822083,1.2164221860809676e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-26, Arizona",2020-01-26,Arizona,1,0,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2020-01-26, California",2020-01-26,California,2,0,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2020-01-26, Illinois",2020-01-26,Illinois,1,0,5150233,1.941659726851193e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-26, Washington",2020-01-26,Washington,1,0,822083,1.2164221860809676e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-27, Arizona",2020-01-27,Arizona,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2020-01-27, California",2020-01-27,California,2,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2020-01-27, Illinois",2020-01-27,Illinois,1,0,5150233,1.941659726851193e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-27, Washington",2020-01-27,Washington,1,0,822083,1.2164221860809676e-6,0,0,0,0,0,0,0,0.14285714285714285,0,1.737745980115668e-7,0,0.1737745980115668,0,0,0,0
"2020-01-28, Arizona",2020-01-28,Arizona,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2020-01-28, California",2020-01-28,California,2,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2020-01-28, Illinois",2020-01-28,Illinois,1,0,5150233,1.941659726851193e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-28, Washington",2020-01-28,Washington,1,0,822083,1.2164221860809676e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-29, Arizona",2020-01-29,Arizona,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2020-01-29, California",2020-01-29,California,2,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2020-01-29, Illinois",2020-01-29,Illinois,1,0,5150233,1.941659726851193e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-29, Washington",2020-01-29,Washington,1,0,822083,1.2164221860809676e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2164221860809676e-6,1.2164221860809676
"2020-01-30, Arizona",2020-01-30,Arizona,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2020-01-30, California",2020-01-30,California,2,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2020-01-30, Illinois",2020-01-30,Illinois,2,0,5150233,3.883319453702386e-7,0,1,0,1.941659726851193e-7,0,0.1941659726851193,0,0.2857142857142857,0,5.5475992195748365e-8,0,0.05547599219574837,0,0,0,0
"2020-01-30, Washington",2020-01-30,Washington,1,0,822083,1.2164221860809676e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-31, Arizona",2020-01-31,Arizona,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2020-01-31, California",2020-01-31,California,3,0,NA,NA,NA,1,0,NA,NA,NA,NA,0.42857142857142855,0,NA,NA,NA,NA,0,0,0
"2020-01-31, Illinois",2020-01-31,Illinois,2,0,5150233,3.883319453702386e-7,0,0,0,0,0,0,0,0.14285714285714285,0,2.7737996097874183e-8,0,0.027737996097874185,0,0,0,0
"2020-01-31, Washington",2020-01-31,Washington,1,0,822083,1.2164221860809676e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
