County,PovertyRate
Alachua,19.8
Baker,15.4
Bay,13.4
Bradford,19.5
Brevard,11
Broward,12.6
Calhoun,21.3
Charlotte,11.1
Citrus,15.2
Clay,8.8
Collier,10.6
Columbia,17.3
DeSoto,26.1
Dixie,24.7
Duval,14.5
Escambia,14.7
Flagler,10.3
Franklin,22.8
Gadsden,23.6
Gilchrist,16.8
Glades,20.1
Gulf,20.3
Hamilton,27.6
Hardee,27
Hendry,24
Hernando,14.1
Highlands,20.8
Hillsborough,14.7
Holmes,23.9
Indian River,10.7
Jackson,23.5
Jefferson,17.9
Lafayette,21
Lake,11.5
Lee,12.1
Leon,20.7
Levy,16.1
Liberty,23.8
Madison,22.8
Manatee,10.4
Marion,15.1
Martin,10.7
Monroe,12
Nassau,10.4
Okaloosa,12.7
Okeechobee,21.5
Orange,15.6
Osceola,13.4
Palm Beach,12.2
Pasco,12.6
Pinellas,11.7
Polk,15.7
Putnam,18.8
Santa Rosa,9.5
Sarasota,10.3
Seminole,9.9
St. Johns,6.6
St. Lucie,12.1
Sumter,9.3
Suwannee,19.3
Taylor,21.6
Union,20.6
Volusia,13.2
Wakulla,11.9
Walton,11.4
Washington,22.8
