fips,,FIPS Code,Population,,Missing in Column A
36001,,36001,"305,506",,1
36003,,36003,"46,091",,2
36007,,36005,"1,418,207",,#N/A
36009,,36007,"190,488",,3
36011,,36009,"76,117",,4
36013,,36011,"76,576",,5
36015,,36013,"126,903",,6
36017,,36015,"83,456",,7
36019,,36017,"47,207",,8
36021,,36019,"80,485",,9
36023,,36021,"59,461",,10
36025,,36023,"47,581",,11
36027,,36025,"44,135",,12
36029,,36027,"294,218",,13
36031,,36029,"918,702",,14
36033,,36031,"36,885",,15
36035,,36033,"50,022",,16
36037,,36035,"53,383",,17
36039,,36037,"57,280",,18
36041,,36039,"47,188",,19
36043,,36041,"4,416",,20
36045,,36043,"61,319",,21
36049,,36045,"109,834",,22
36051,,36047,"2,559,903",,#N/A
36053,,36049,"26,296",,23
36055,,36051,"62,914",,24
36057,,36053,"70,941",,25
36059,,36055,"741,770",,26
36063,,36057,"49,221",,27
36065,,36059,"1,356,924",,28
36067,,36061,"1,628,706",,#N/A
36069,,36063,"209,281",,29
36071,,36065,"228,671",,30
36073,,36067,"460,528",,31
36075,,36069,"109,777",,32
36077,,36071,"384,940",,33
36079,,36073,"40,352",,34
36083,,36075,"117,124",,35
36087,,36077,"59,493",,36
36089,,36079,"98,320",,37
36091,,36081,"2,253,858",,#N/A
36093,,36083,"158,714",,38
36095,,36085,"476,143",,#N/A
36097,,36087,"325,789",,39
36099,,36089,"107,740",,40
36101,,36091,"229,863",,41
36103,,36093,"155,299",,42
36105,,36095,"30,999",,43
36107,,36097,"17,807",,44
36109,,36099,"34,016",,45
36111,,36101,"95,379",,46
36113,,36103,"1,476,601",,47
36115,,36105,"75,432",,48
36117,,36107,"48,203",,49
36119,,36109,"102,180",,50
36121,,36111,"177,573",,51
36123,,36113,"63,944",,52
,,36115,"61,204",,53
,,36117,"89,918",,54
,,36119,"967,506",,55
,,36121,"39,859",,56
,,36123,"24,913",,57
