County,PovertyRate
Albany,11.3
Allegany,17
Broome,17.3
Cattaraugus,17.1
Cayuga,13
Chautauqua,18.3
Chemung,13.5
Chenango,15.1
Clinton,13.2
Columbia,11.7
Cortland,16.9
Delaware,15.9
Dutchess,9.2
Erie,13.7
Essex,11.7
Franklin,16.7
Fulton,13
Genesee,9.9
Greene,13
Hamilton,9.1
Herkimer,13.5
Jefferson,12.3
Lewis,12.2
Livingston,12.5
Madison,10.8
Monroe,14.4
Montgomery,15.8
Nassau,5.8
New York City,17.3
Niagara,13
Oneida,14.8
Onondaga,13.7
Ontario,8.5
Orange,11.5
Orleans,12.6
Oswego,16.1
Otsego,12.5
Putnam,6
Rensselaer,11.1
Rockland,13.9
Saratoga,6.3
Schenectady,11.3
Schoharie,11.8
Schuyler,13.5
Seneca,12.6
St. Lawrence,15.1
Steuben,12.8
Suffolk,7.3
Sullivan,16.2
Tioga,10.2
Tompkins,16.8
Ulster,14.3
Warren,10.8
Washington,11.4
Wayne,9.6
Westchester,8.3
Wyoming,9.9
Yates,12.7
