date,county,state,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
6/25/2020,Abbeville,South Carolina,91,0,91,0,0,0
6/25/2020,Acadia,Louisiana,726,35,726,35,,
6/25/2020,Accomack,Virginia,1034,14,,,,
6/25/2020,Ada,Idaho,1484,23,1378,18,106,5
6/25/2020,Adair,Iowa,13,0,13,0,,
6/25/2020,Adair,Kentucky,109,19,,,,
6/25/2020,Adair,Missouri,87,0,87,0,,
6/25/2020,Adair,Oklahoma,110,4,110,4,,
6/25/2020,Adams,Colorado,3971,154,,,,
6/25/2020,Adams,Idaho,10,0,9,,1,
6/25/2020,Adams,Illinois,67,1,67,1,,
6/25/2020,Adams,Indiana,39,2,38,1,1,1
6/25/2020,Adams,Iowa,7,0,7,0,,
6/25/2020,Adams,Mississippi,234,18,,,,
6/25/2020,Adams,Nebraska,283,11,283,11,,
6/25/2020,Adams,Ohio,19,1,,,,
6/25/2020,Adams,Pennsylvania,321,12,310,,11,
6/25/2020,Adams,Washington,109,0,109,0,,
6/25/2020,Adams,Wisconsin,11,2,11,2,,
6/25/2020,Addison,Vermont,68,2,68,2,,
6/25/2020,Adjuntas,Puerto Rico,43,,8,,35,
6/25/2020,Aguada,Puerto Rico,30,,10,,20,
6/25/2020,Aguadilla,Puerto Rico,43,,16,,27,
6/25/2020,Aguas Buenas,Puerto Rico,57,,17,,40,
6/25/2020,Aibonito,Puerto Rico,41,,8,,33,
6/25/2020,Aiken,South Carolina,302,9,302,9,0,0
6/25/2020,Aitkin,Minnesota,13,0,13,0,,
6/25/2020,Alachua,Florida,807,11,807,11,,
6/25/2020,Alamance,North Carolina,994,36,994,36,,
6/25/2020,Alameda,California,5296,122,5296,122,,
6/25/2020,Alamosa,Colorado,177,3,,,,
6/25/2020,Albany,New York,2065,157,2065,157,,
6/25/2020,Albany,Wyoming,31,0,29,,2,
6/25/2020,Albemarle,Virginia,359,8,,,,
6/25/2020,Alcona,Michigan,21,1,18,1,3,0
6/25/2020,Alcorn,Mississippi,41,1,,,,
6/25/2020,Aleutians East Borough,Alaska,2,0,2,,,
6/25/2020,Aleutians West Census Area,Alaska,4,0,4,,,
6/25/2020,Alexander,Illinois,21,0,21,0,,
6/25/2020,Alexander,North Carolina,73,0,73,0,,
